data,water_level
01-01-2018,-163
02-01-2018,-166
03-01-2018,-169
04-01-2018,-172
05-01-2018,-174
06-01-2018,-176
07-01-2018,-179
08-01-2018,-181
09-01-2018,-182
10-01-2018,-184
11-01-2018,-187
12-01-2018,-190
13-01-2018,-193
14-01-2018,-196
15-01-2018,-199
16-01-2018,-202
17-01-2018,-205
18-01-2018,-208
19-01-2018,-211
20-01-2018,-211
21-01-2018,-217
22-01-2018,-220
23-01-2018,-222
24-01-2018,-224
25-01-2018,-226
26-01-2018,-228
27-01-2018,-230
28-01-2018,-232
29-01-2018,-234
30-01-2018,-236
31-01-2018,-238
01-02-2018,-240
02-02-2018,-242
03-02-2018,-244
04-02-2018,-245
05-02-2018,-246
06-02-2018,-247
07-02-2018,-248
08-02-2018,-250
09-02-2018,-253
10-02-2018,-255
11-02-2018,-257
12-02-2018,-259
13-02-2018,-260
14-02-2018,-262
15-02-2018,-263
16-02-2018,-265
17-02-2018,-266
18-02-2018,-267
19-02-2018,-268
20-02-2018,-269
21-02-2018,-270
22-02-2018,-271
23-02-2018,-272
24-02-2018,-273
25-02-2018,-274
26-02-2018,-275
27-02-2018,-277
28-02-2018,-278
01-03-2018,-279
02-03-2018,-280
03-03-2018,-280
04-03-2018,-281
05-03-2018,-281
06-03-2018,-282
07-03-2018,-282
08-03-2018,-282
09-03-2018,-283
10-03-2018,-283
11-03-2018,-284
12-03-2018,-284
13-03-2018,-284
14-03-2018,-285
15-03-2018,-286
16-03-2018,-287
17-03-2018,-288
18-03-2018,-289
19-03-2018,-290
20-03-2018,-291
21-03-2018,-292
22-03-2018,-293
23-03-2018,-293
24-03-2018,-294
25-03-2018,-294
26-03-2018,-295
27-03-2018,-295
28-03-2018,-296
29-03-2018,-297
30-03-2018,-297
31-03-2018,-297
01-04-2018,-298
02-04-2018,-298
03-04-2018,-298
04-04-2018,-298
05-04-2018,-298
06-04-2018,-298
07-04-2018,-298
08-04-2018,-298
09-04-2018,-299
10-04-2018,-299
11-04-2018,-299
12-04-2018,-299
13-04-2018,-299
14-04-2018,-298
15-04-2018,-298
16-04-2018,-298
17-04-2018,-297
18-04-2018,-295
19-04-2018,-294
20-04-2018,-294
21-04-2018,-293
22-04-2018,-293
23-04-2018,-293
24-04-2018,-292
25-04-2018,-290
26-04-2018,-288
27-04-2018,-287
28-04-2018,-287
29-04-2018,-284
30-04-2018,-279
01-05-2018,-277
02-05-2018,-273
03-05-2018,-265
04-05-2018,-255
05-05-2018,-238
06-05-2018,-208
07-05-2018,-154
08-05-2018,-90
09-05-2018,-16
10-05-2018,63
11-05-2018,142
12-05-2018,246
13-05-2018,329
14-05-2018,519
15-05-2018,646
16-05-2018,654
17-05-2018,513
18-05-2018,452
19-05-2018,408
20-05-2018,473
21-05-2018,494
22-05-2018,410
23-05-2018,368
24-05-2018,324
25-05-2018,306
26-05-2018,302
27-05-2018,324
28-05-2018,339
29-05-2018,352
30-05-2018,345
31-05-2018,344
